window_index,start_time,end_time,command,confidence,ground_truth
246,61.50,64.50,WALK,0.8236,WALK
247,61.75,64.75,WALK,0.8283,WALK
248,62.00,65.00,WALK,0.7137,WALK
249,62.25,65.25,WALK,0.8494,WALK
250,62.50,65.50,WALK,0.8059,WALK
251,62.75,65.75,WALK,0.8271,WALK
252,63.00,66.00,WALK,0.9519,WALK
253,63.25,66.25,WALK,0.9746,WALK
254,63.50,66.50,WALK,0.9845,WALK
255,63.75,66.75,WALK,0.9933,WALK
256,64.00,67.00,WALK,0.9848,WALK
257,64.25,67.25,WALK,0.9800,WALK
258,64.50,67.50,WALK,0.9752,WALK
259,64.75,67.75,WALK,0.9702,WALK
260,65.00,68.00,WALK,0.9664,WALK
261,65.25,68.25,WALK,0.9782,WALK
262,65.50,68.50,WALK,0.9881,WALK
263,65.75,68.75,WALK,0.9907,WALK
264,66.00,69.00,WALK,0.9925,WALK
265,66.25,69.25,WALK,0.9937,WALK
266,66.50,69.50,WALK,0.9949,WALK
267,66.75,69.75,WALK,0.9891,WALK
268,67.00,70.00,WALK,0.9069,WALK
269,67.25,70.25,WALK,0.8368,WALK
270,67.50,70.50,WALK,0.7155,WALK
271,67.75,70.75,WALK,0.8337,WALK
272,68.00,71.00,WALK,0.9384,WALK
273,68.25,71.25,WALK,0.9138,WALK
274,68.50,71.50,WALK,0.8620,WALK
275,68.75,71.75,WALK,0.7419,WALK
276,69.00,72.00,WALK,0.7784,WALK
277,69.25,72.25,STOP,0.7073,WALK
278,69.50,72.50,STOP,0.8508,WALK
279,69.75,72.75,STOP,0.7485,WALK
280,70.00,73.00,STOP,0.7434,WALK
281,70.25,73.25,STOP,0.6616,STOP
282,70.50,73.50,STOP,0.8285,STOP
283,70.75,73.75,STOP,0.8019,STOP
284,71.00,74.00,STOP,0.8906,STOP
285,71.25,74.25,STOP,0.8256,STOP
286,71.50,74.50,STOP,0.7631,STOP
287,71.75,74.75,STOP,0.6876,STOP
288,72.00,75.00,STOP,0.5677,STOP
289,72.25,75.25,STOP,0.9057,STOP
290,72.50,75.50,STOP,0.9226,STOP
291,72.75,75.75,STOP,0.9278,STOP
292,73.00,76.00,STOP,0.9261,STOP
293,73.25,76.25,STOP,0.9446,STOP
294,73.50,76.50,STOP,0.9537,STOP
295,73.75,76.75,STOP,0.9665,STOP
296,74.00,77.00,STOP,0.9778,STOP
297,74.25,77.25,STOP,0.9849,STOP
298,74.50,77.50,STOP,0.9560,STOP
299,74.75,77.75,STOP,0.9580,STOP
300,75.00,78.00,STOP,0.9620,STOP
301,75.25,78.25,STOP,0.9788,STOP
302,75.50,78.50,STOP,0.9791,STOP
303,75.75,78.75,STOP,0.9845,STOP
304,76.00,79.00,STOP,0.9869,STOP
305,76.25,79.25,STOP,0.9779,STOP
306,76.50,79.50,STOP,0.9804,STOP
307,76.75,79.75,STOP,0.9793,STOP
308,77.00,80.00,STOP,0.9907,STOP
309,77.25,80.25,STOP,0.9887,STOP
310,77.50,80.50,STOP,0.9951,STOP
311,77.75,80.75,STOP,0.9947,STOP
312,78.00,81.00,STOP,0.9886,STOP
313,78.25,81.25,STOP,0.9906,STOP
314,78.50,81.50,STOP,0.9794,STOP
315,78.75,81.75,STOP,0.9301,STOP
316,79.00,82.00,STOP,0.9390,STOP
317,79.25,82.25,STOP,0.9733,STOP
318,79.50,82.50,STOP,0.9695,STOP
319,79.75,82.75,STOP,0.9693,STOP
320,80.00,83.00,STOP,0.8427,STOP
321,80.25,83.25,STOP,0.6509,STOP
322,80.50,83.50,STOP,0.8221,STOP
323,80.75,83.75,STOP,0.8675,STOP
324,81.00,84.00,STOP,0.9074,STOP
325,81.25,84.25,STOP,0.8635,STOP
326,81.50,84.50,STOP,0.8249,STOP
327,81.75,84.75,STOP,0.9463,STOP
328,82.00,85.00,STOP,0.9402,STOP
329,82.25,85.25,STOP,0.8912,STOP
330,82.50,85.50,STOP,0.9010,STOP
331,82.75,85.75,STOP,0.9247,STOP
332,83.00,86.00,STOP,0.9376,STOP
333,83.25,86.25,STOP,0.9743,STOP
334,83.50,86.50,STOP,0.9649,STOP
335,83.75,86.75,STOP,0.9231,STOP
336,84.00,87.00,STOP,0.9229,STOP
337,84.25,87.25,STOP,0.8986,STOP
338,84.50,87.50,STOP,0.9288,STOP
339,84.75,87.75,STOP,0.9183,STOP
340,85.00,88.00,STOP,0.8786,STOP
341,85.25,88.25,STOP,0.9064,STOP
342,85.50,88.50,STOP,0.8894,STOP
343,85.75,88.75,STOP,0.8584,STOP
344,86.00,89.00,STOP,0.9273,STOP
345,86.25,89.25,STOP,0.9668,STOP
346,86.50,89.50,STOP,0.9746,STOP
347,86.75,89.75,STOP,0.9778,STOP
348,87.00,90.00,STOP,0.9737,STOP
349,87.25,90.25,STOP,0.9657,STOP
350,87.50,90.50,STOP,0.9635,STOP
351,87.75,90.75,STOP,0.9663,STOP
352,88.00,91.00,STOP,0.9796,STOP
353,88.25,91.25,STOP,0.9502,STOP
354,88.50,91.50,STOP,0.9628,STOP
355,88.75,91.75,STOP,0.9675,STOP
356,89.00,92.00,STOP,0.9605,WALK
357,89.25,92.25,STOP,0.8329,WALK
358,89.50,92.50,STOP,0.7975,WALK
359,89.75,92.75,STOP,0.5550,WALK
360,90.00,93.00,STOP,0.6273,WALK
361,90.25,93.25,STOP,0.9268,WALK
362,90.50,93.50,STOP,0.9753,WALK
363,90.75,93.75,STOP,0.9336,WALK
364,91.00,94.00,WALK,0.5033,WALK
365,91.25,94.25,WALK,0.8576,WALK
366,91.50,94.50,WALK,0.9758,WALK
367,91.75,94.75,WALK,0.9852,WALK
368,92.00,95.00,WALK,0.9509,WALK
369,92.25,95.25,WALK,0.7565,WALK
370,92.50,95.50,WALK,0.7095,WALK
371,92.75,95.75,WALK,0.7028,WALK
372,93.00,96.00,WALK,0.6457,WALK
373,93.25,96.25,WALK,0.7049,WALK
374,93.50,96.50,WALK,0.7798,WALK
375,93.75,96.75,WALK,0.5725,WALK
376,94.00,97.00,WALK,0.5198,WALK
377,94.25,97.25,WALK,0.9069,WALK
378,94.50,97.50,WALK,0.9830,WALK
379,94.75,97.75,WALK,0.9898,WALK
380,95.00,98.00,WALK,0.9925,WALK
381,95.25,98.25,WALK,0.9882,WALK
382,95.50,98.50,WALK,0.9813,WALK
383,95.75,98.75,WALK,0.9706,WALK
384,96.00,99.00,WALK,0.9728,WALK
385,96.25,99.25,WALK,0.9581,WALK
386,96.50,99.50,WALK,0.8769,WALK
387,96.75,99.75,WALK,0.6633,WALK
388,97.00,100.00,STOP,0.5630,WALK
389,97.25,100.25,STOP,0.6958,WALK
390,97.50,100.50,STOP,0.7948,WALK
391,97.75,100.75,STOP,0.8422,WALK
392,98.00,101.00,STOP,0.8427,WALK
393,98.25,101.25,STOP,0.5240,WALK
394,98.50,101.50,WALK,0.6744,WALK
395,98.75,101.75,WALK,0.5407,WALK
396,99.00,102.00,WALK,0.5346,WALK
397,99.25,102.25,WALK,0.6830,WALK
398,99.50,102.50,WALK,0.7228,WALK
399,99.75,102.75,WALK,0.7162,WALK
400,100.00,103.00,WALK,0.5525,WALK
401,100.25,103.25,WALK,0.6989,WALK
402,100.50,103.50,WALK,0.9019,WALK
403,100.75,103.75,WALK,0.6244,WALK
404,101.00,104.00,STOP,0.5314,WALK
405,101.25,104.25,STOP,0.6194,WALK
406,101.50,104.50,STOP,0.5201,WALK
407,101.75,104.75,STOP,0.8313,STOP
408,102.00,105.00,STOP,0.7373,STOP
409,102.25,105.25,STOP,0.5781,STOP
410,102.50,105.50,STOP,0.5154,STOP
411,102.75,105.75,STOP,0.6581,STOP
412,103.00,106.00,STOP,0.6754,STOP
413,103.25,106.25,STOP,0.7417,STOP
414,103.50,106.50,STOP,0.9062,STOP
415,103.75,106.75,STOP,0.8513,STOP
416,104.00,107.00,STOP,0.8957,STOP
417,104.25,107.25,STOP,0.9273,STOP
418,104.50,107.50,STOP,0.9377,STOP
419,104.75,107.75,STOP,0.9479,STOP
420,105.00,108.00,STOP,0.9590,STOP
421,105.25,108.25,STOP,0.9733,STOP
422,105.50,108.50,STOP,0.9725,STOP
423,105.75,108.75,STOP,0.9709,STOP
424,106.00,109.00,STOP,0.9697,STOP
425,106.25,109.25,STOP,0.9573,STOP
426,106.50,109.50,STOP,0.9727,STOP
427,106.75,109.75,STOP,0.9765,STOP
428,107.00,110.00,STOP,0.8226,STOP
429,107.25,110.25,STOP,0.8879,STOP
430,107.50,110.50,STOP,0.8991,STOP
431,107.75,110.75,STOP,0.9108,STOP
432,108.00,111.00,STOP,0.8477,STOP
433,108.25,111.25,STOP,0.8015,STOP
434,108.50,111.50,STOP,0.7485,STOP
435,108.75,111.75,STOP,0.7987,STOP
436,109.00,112.00,STOP,0.6377,STOP
437,109.25,112.25,STOP,0.8773,STOP
438,109.50,112.50,STOP,0.9090,STOP
439,109.75,112.75,STOP,0.8178,STOP
440,110.00,113.00,STOP,0.6818,STOP
441,110.25,113.25,STOP,0.5325,STOP
442,110.50,113.50,STOP,0.7602,STOP
443,110.75,113.75,STOP,0.8239,STOP
444,111.00,114.00,STOP,0.6716,STOP
445,111.25,114.25,STOP,0.5194,STOP
446,111.50,114.50,STOP,0.5494,STOP
447,111.75,114.75,WALK,0.5144,STOP
448,112.00,115.00,STOP,0.6463,STOP
449,112.25,115.25,STOP,0.6593,STOP
450,112.50,115.50,STOP,0.5579,STOP
451,112.75,115.75,STOP,0.8746,STOP
452,113.00,116.00,STOP,0.7522,STOP
453,113.25,116.25,STOP,0.8063,STOP
454,113.50,116.50,STOP,0.9294,STOP
455,113.75,116.75,STOP,0.9518,STOP
456,114.00,117.00,STOP,0.9607,STOP
457,114.25,117.25,STOP,0.8591,STOP
458,114.50,117.50,STOP,0.8214,STOP
459,114.75,117.75,STOP,0.8010,STOP
460,115.00,118.00,STOP,0.7037,STOP
461,115.25,118.25,STOP,0.7373,STOP
462,115.50,118.50,STOP,0.7088,WALK
463,115.75,118.75,STOP,0.6910,WALK
464,116.00,119.00,STOP,0.7690,WALK
465,116.25,119.25,STOP,0.6879,WALK
466,116.50,119.50,STOP,0.6091,WALK
467,116.75,119.75,WALK,0.6143,WALK
468,117.00,120.00,WALK,0.9046,WALK
469,117.25,120.25,WALK,0.8927,WALK
470,117.50,120.50,WALK,0.9370,WALK
471,117.75,120.75,WALK,0.9726,WALK
472,118.00,121.00,WALK,0.9835,WALK
473,118.25,121.25,WALK,0.9780,WALK
474,118.50,121.50,WALK,0.9722,WALK
475,118.75,121.75,WALK,0.9475,WALK
476,119.00,122.00,WALK,0.9683,WALK
477,119.25,122.25,WALK,0.9807,WALK
478,119.50,122.50,WALK,0.9820,WALK
479,119.75,122.75,WALK,0.9838,WALK
480,120.00,123.00,WALK,0.9875,WALK
481,120.25,123.25,WALK,0.9987,WALK
482,120.50,123.50,WALK,0.9635,WALK
483,120.75,123.75,WALK,0.8941,WALK
484,121.00,124.00,WALK,0.9470,WALK
485,121.25,124.25,WALK,0.9823,WALK
486,121.50,124.50,WALK,0.9938,WALK
487,121.75,124.75,WALK,0.9932,WALK
488,122.00,125.00,WALK,0.9872,WALK
489,122.25,125.25,WALK,0.9937,WALK
490,122.50,125.50,WALK,0.9997,WALK
491,122.75,125.75,WALK,0.9993,WALK
492,123.00,126.00,WALK,0.9887,WALK
493,123.25,126.25,WALK,0.9944,WALK
494,123.50,126.50,WALK,0.9929,WALK
495,123.75,126.75,WALK,0.9956,WALK
496,124.00,127.00,WALK,0.9802,WALK
497,124.25,127.25,WALK,0.9261,WALK
498,124.50,127.50,WALK,0.9321,WALK
499,124.75,127.75,WALK,0.9356,WALK
500,125.00,128.00,WALK,0.9117,WALK
501,125.25,128.25,WALK,0.9484,WALK
502,125.50,128.50,WALK,0.9571,WALK
503,125.75,128.75,WALK,0.8612,WALK
504,126.00,129.00,WALK,0.6802,WALK
505,126.25,129.25,STOP,0.7206,WALK
506,126.50,129.50,STOP,0.8788,WALK
507,126.75,129.75,STOP,0.7864,WALK
508,127.00,130.00,WALK,0.5880,WALK
509,127.25,130.25,WALK,0.9433,WALK
510,127.50,130.50,WALK,0.8896,WALK
511,127.75,130.75,WALK,0.7984,WALK
512,128.00,131.00,STOP,0.6553,WALK
513,128.25,131.25,STOP,0.8853,WALK
514,128.50,131.50,STOP,0.9085,WALK
515,128.75,131.75,STOP,0.9044,WALK
516,129.00,132.00,STOP,0.8937,WALK
517,129.25,132.25,STOP,0.9058,WALK
518,129.50,132.50,STOP,0.8702,WALK
519,129.75,132.75,STOP,0.9420,WALK
520,130.00,133.00,STOP,0.9571,WALK
521,130.25,133.25,STOP,0.9680,WALK
522,130.50,133.50,STOP,0.9668,WALK
523,130.75,133.75,STOP,0.9738,WALK
524,131.00,134.00,STOP,0.8987,WALK
525,131.25,134.25,STOP,0.9029,WALK
526,131.50,134.50,STOP,0.9158,WALK
527,131.75,134.75,STOP,0.9391,WALK
528,132.00,135.00,STOP,0.9342,WALK
529,132.25,135.25,STOP,0.9083,WALK
530,132.50,135.50,STOP,0.8759,WALK
531,132.75,135.75,STOP,0.9313,WALK
532,133.00,136.00,STOP,0.5324,WALK
533,133.25,136.25,STOP,0.5203,STOP
534,133.50,136.50,STOP,0.6486,STOP
535,133.75,136.75,STOP,0.5582,STOP
536,134.00,137.00,WALK,0.5582,STOP
537,134.25,137.25,WALK,0.5414,STOP
538,134.50,137.50,WALK,0.7055,STOP
539,134.75,137.75,WALK,0.8942,STOP
540,135.00,138.00,WALK,0.8906,STOP
541,135.25,138.25,WALK,0.8814,STOP
542,135.50,138.50,WALK,0.9047,STOP
543,135.75,138.75,STOP,0.5270,STOP
544,136.00,139.00,STOP,0.7585,STOP
545,136.25,139.25,STOP,0.7767,STOP
546,136.50,139.50,STOP,0.7866,STOP
547,136.75,139.75,STOP,0.9549,STOP
548,137.00,140.00,STOP,0.9716,STOP
549,137.25,140.25,STOP,0.9785,STOP
550,137.50,140.50,STOP,0.9787,STOP
551,137.75,140.75,STOP,0.9820,STOP
552,138.00,141.00,STOP,0.9875,STOP
553,138.25,141.25,STOP,0.9857,STOP
554,138.50,141.50,STOP,0.9872,STOP
555,138.75,141.75,STOP,0.9713,STOP
556,139.00,142.00,STOP,0.9623,STOP
557,139.25,142.25,STOP,0.9721,STOP
558,139.50,142.50,STOP,0.9483,STOP
559,139.75,142.75,STOP,0.9496,STOP
560,140.00,143.00,STOP,0.9802,STOP
561,140.25,143.25,STOP,0.9441,STOP
562,140.50,143.50,STOP,0.9192,STOP
563,140.75,143.75,STOP,0.8293,STOP
564,141.00,144.00,STOP,0.8261,STOP
565,141.25,144.25,STOP,0.8839,STOP
566,141.50,144.50,STOP,0.8852,STOP
567,141.75,144.75,STOP,0.8125,STOP
568,142.00,145.00,STOP,0.7779,STOP
569,142.25,145.25,STOP,0.7396,STOP
570,142.50,145.50,STOP,0.7334,STOP
571,142.75,145.75,STOP,0.7543,STOP
572,143.00,146.00,STOP,0.8782,STOP
573,143.25,146.25,STOP,0.8479,STOP
574,143.50,146.50,STOP,0.8888,STOP
575,143.75,146.75,STOP,0.8593,STOP
576,144.00,147.00,STOP,0.7984,STOP
577,144.25,147.25,STOP,0.8545,STOP
578,144.50,147.50,STOP,0.8155,STOP
579,144.75,147.75,STOP,0.9468,STOP
580,145.00,148.00,STOP,0.8990,STOP
581,145.25,148.25,STOP,0.9084,STOP
582,145.50,148.50,STOP,0.8956,STOP
583,145.75,148.75,STOP,0.8776,STOP
584,146.00,149.00,STOP,0.8606,STOP
585,146.25,149.25,STOP,0.8538,STOP
586,146.50,149.50,STOP,0.8493,STOP
587,146.75,149.75,STOP,0.9255,STOP
588,147.00,150.00,STOP,0.9703,STOP
589,147.25,150.25,STOP,0.9720,STOP
590,147.50,150.50,STOP,0.9505,STOP
591,147.75,150.75,STOP,0.9567,STOP
592,148.00,151.00,STOP,0.9695,STOP
593,148.25,151.25,STOP,0.9599,STOP
594,148.50,151.50,STOP,0.9603,STOP
595,148.75,151.75,STOP,0.9636,STOP
596,149.00,152.00,STOP,0.9685,STOP
597,149.25,152.25,STOP,0.9215,STOP
598,149.50,152.50,STOP,0.9604,STOP
599,149.75,152.75,STOP,0.9837,STOP
600,150.00,153.00,STOP,0.9602,STOP
601,150.25,153.25,STOP,0.9003,STOP
602,150.50,153.50,STOP,0.9513,STOP
603,150.75,153.75,STOP,0.9772,STOP
604,151.00,154.00,STOP,0.9724,STOP
605,151.25,154.25,STOP,0.9432,STOP
